	podcast1	podcast2	score
414	Bertcast's podcast	This Life #YOULIVE With Dr Drew	255791188
415	Bertcast's podcast	With Friends Like These	0
416	Bertcast's podcast	The Axe Files with David Axelrod	0
417	Bertcast's podcast	Politically Re-Active with W. Kamau Bell & Hari Kondabolu	0
418	Bertcast's podcast	The James Altucher Show	191141046
419	Bertcast's podcast	Bulletproof Radio	0
420	Bertcast's podcast	Revolution Health Radio	0
421	Bertcast's podcast	UFC Unfiltered with Jim Norton and Matt Serra	892528663
422	Bertcast's podcast	10% Happier with Dan Harris	22708598
423	Bertcast's podcast	Oprah’s SuperSoul Conversations	0
424	The Fighter & The Kid	Ari Shaffir's Skeptic Tank	2801086196
425	The Fighter & The Kid	Under The Skin with Russell Brand	0
426	The Fighter & The Kid	Pointless: with Kevin Pereira	117617720
427	The Fighter & The Kid	ID10T with Chris Hardwick	1428799962
428	The Fighter & The Kid	Waking Up with Sam Harris	0
429	The Fighter & The Kid	Kill Tony	1166905277
430	The Fighter & The Kid	The Rubin Report	35831240
431	The Fighter & The Kid	Comedy Bang Bang	152052705
432	The Fighter & The Kid	H3 Podcast	106658615
433	The Fighter & The Kid	WTF with Marc Maron Podcast	521351599
434	The Fighter & The Kid	The Church of What's Happening Now: With Joey Coco Diaz	5737641926
435	The Fighter & The Kid	Your Mom's House with Christina P. and Tom Segura	1051689599
436	The Fighter & The Kid	Harmontown	233955264
437	The Fighter & The Kid	Freedomain Radio with Stefan Molyneux	0
438	The Fighter & The Kid	Econtalk	0
439	The Fighter & The Kid	Real Time with Bill Maher	23506212
440	The Fighter & The Kid	You Made It Weird with Pete Holmes	1381169776
